Entity,Code,Year,Share of the population with access to electricity
Afghanistan,AFG,2022,85.3
Albania,ALB,2022,100
Algeria,DZA,2022,100
Andorra,AND,2022,100
Angola,AGO,2022,48.5
Antigua and Barbuda,ATG,2022,100
Argentina,ARG,2022,100
Armenia,ARM,2022,100
Australia,AUS,2022,100
Austria,AUT,2022,100
Azerbaijan,AZE,2022,100
Bahamas,BHS,2022,100
Bahrain,BHR,2022,100
Bangladesh,BGD,2022,99.4
Barbados,BRB,2022,100
Belarus,BLR,2022,100
Belgium,BEL,2022,100
Belize,BLZ,2022,98.6
Benin,BEN,2022,56.5
Bhutan,BTN,2022,100
Bolivia,BOL,2022,99.9
Bosnia and Herzegovina,BIH,2022,100
Botswana,BWA,2022,75.9
Brazil,BRA,2022,100
Brunei,BRN,2022,100
Bulgaria,BGR,2022,100
Burkina Faso,BFA,2022,19.5
Burundi,BDI,2022,10.3
Cambodia,KHM,2022,92.3
Cameroon,CMR,2022,71
Canada,CAN,2022,100
Cape Verde,CPV,2022,97.1
Central African Republic,CAF,2022,15.7
Chad,TCD,2022,11.7
Chile,CHL,2022,100
China,CHN,2022,100
Colombia,COL,2022,100
Comoros,COM,2022,89.9
Congo,COG,2022,50.6
Costa Rica,CRI,2022,100
Cote d'Ivoire,CIV,2022,72
Croatia,HRV,2022,100
Cuba,CUB,2022,100
Cyprus,CYP,2022,100
Czechia,CZE,2022,100
Democratic Republic of Congo,COD,2022,21.5
Denmark,DNK,2022,100
Djibouti,DJI,2022,65
Dominica,DMA,2022,100
Dominican Republic,DOM,2022,98.1
East Timor,TLS,2022,99.7
Ecuador,ECU,2022,100
Egypt,EGY,2022,100
El Salvador,SLV,2022,100
Equatorial Guinea,GNQ,2022,67
Eritrea,ERI,2022,53.4
Estonia,EST,2022,100
Eswatini,SWZ,2022,82.3
Ethiopia,ETH,2022,55.4
Fiji,FJI,2022,92
Finland,FIN,2022,100
France,FRA,2022,100
Gabon,GAB,2022,93.5
Gambia,GMB,2022,65.4
Georgia,GEO,2022,100
Germany,DEU,2022,100
Ghana,GHA,2022,85.1
Greece,GRC,2022,100
Greenland,GRL,2022,100
Grenada,GRD,2022,94.2
Guatemala,GTM,2022,99.1
Guinea,GIN,2022,47.7
