Entity,Code,Year,Share of the population using the Internet,Share of the population using the Internet (Original Year)
Afghanistan,AFG,2022,17.1917,
Albania,ALB,2022,82.6137,
Algeria,DZA,2022,74.8319,
Andorra,AND,2022,94.4855,
Angola,AGO,2022,42.0719,
Antigua and Barbuda,ATG,2022,77.1648,
Argentina,ARG,2022,88.3754,
Armenia,ARM,2022,77.0277,
Australia,AUS,2022,97.0424,
Austria,AUT,2022,93.6141,
Azerbaijan,AZE,2022,88,
Bahamas,BHS,2022,94.7326,
Bahrain,BHR,2022,100,
Bangladesh,BGD,2022,41.6165,
Barbados,BRB,2022,79.4451,
Belarus,BLR,2022,89.5073,
Belgium,BEL,2022,94.0078,
Belize,BLZ,2022,71.8096,
Benin,BEN,2022,30.0134,
Bhutan,BTN,2022,86.2903,
Bolivia,BOL,2022,67.3612,
Bosnia and Herzegovina,BIH,2022,78.8455,
Botswana,BWA,2022,80.3696,
Brazil,BRA,2022,80.5278,
Brunei,BRN,2022,98.9704,
Bulgaria,BGR,2022,79.1269,
Burkina Faso,BFA,2022,14.6238,
Burundi,BDI,2022,11.0009,
Cambodia,KHM,2022,59.6606,
Cameroon,CMR,2022,41.775,
Canada,CAN,2022,94,
Cape Verde,CPV,2022,72.7601,
Central African Republic,CAF,2022,7.50916,2019
Chad,TCD,2022,12.4865,
Chile,CHL,2022,93.5377,
China,CHN,2022,75.6113,
Colombia,COL,2022,72.7964,
Comoros,COM,2022,32.7685,
Congo,COG,2022,37.4939,
Costa Rica,CRI,2022,82.598,
Cote d'Ivoire,CIV,2022,38.4133,
Croatia,HRV,2022,82.0716,
Cuba,CUB,2022,68.25,
Cyprus,CYP,2022,89.601,
Czechia,CZE,2022,84.5401,
Democratic Republic of Congo,COD,2022,29.4996,
Denmark,DNK,2022,97.8601,
Djibouti,DJI,2022,63.2573,
Dominica,DMA,2022,83.3101,
Dominican Republic,DOM,2022,81.5127,
East Timor,TLS,2022,34.5102,
Ecuador,ECU,2022,69.7181,
Egypt,EGY,2022,72.1981,
El Salvador,SLV,2022,65.5298,
Equatorial Guinea,GNQ,2022,59.3433,
