Entity,Code,Year,Proportion of population with primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total
Afghanistan,AFG,2022,37.1
Albania,ALB,2022,85.4
Algeria,DZA,2022,99.7
Andorra,AND,2022,100
Angola,AGO,2022,50
Antigua and Barbuda,ATG,2022,100
Argentina,ARG,2022,99.9
Armenia,ARM,2022,98.7
Australia,AUS,2022,100
Austria,AUT,2022,100
Azerbaijan,AZE,2022,98.8
Bahamas,BHS,2022,100
Bahrain,BHR,2022,100
Bangladesh,BGD,2022,27.2
Barbados,BRB,2022,100
Belarus,BLR,2022,99.7
Belgium,BEL,2022,100
Belize,BLZ,2022,83
Benin,BEN,2022,5.9
Bhutan,BTN,2022,90.6
Bolivia,BOL,2022,89.7
Bosnia and Herzegovina,BIH,2022,39.3
Botswana,BWA,2022,66
Brazil,BRA,2022,96.5
Brunei,BRN,2022,100
Burkina Faso,BFA,2022,15.9
Burundi,BDI,2022,0.2
Cambodia,KHM,2022,52.15
Cameroon,CMR,2022,29.4
Canada,CAN,2022,100
Cape Verde,CPV,2022,83
Central African Republic,CAF,2022,1
Chad,TCD,2022,8.8
Chile,CHL,2022,100
China,CHN,2022,87.2
Colombia,COL,2022,91.5
Comoros,COM,2022,9.7
Congo,COG,2022,38.8
Costa Rica,CRI,2022,96.3
Cote d'Ivoire,CIV,2022,41.7
Croatia,HRV,2022,100
Cuba,CUB,2022,94.9
Cyprus,CYP,2022,100
Czechia,CZE,2022,100
Democratic Republic of Congo,COD,2022,4.8
Denmark,DNK,2022,100
Djibouti,DJI,2022,9.8
Dominica,DMA,2022,86.8
Dominican Republic,DOM,2022,93.2
East Timor,TLS,2022,17.8
Ecuador,ECU,2022,94.7
Egypt,EGY,2022,99.9
El Salvador,SLV,2022,93.7
Equatorial Guinea,GNQ,2022,22.7
Eritrea,ERI,2022,11.9
Estonia,EST,2022,100
Eswatini,SWZ,2022,49.9
Ethiopia,ETH,2022,6.9
Fiji,FJI,2022,52.8
Finland,FIN,2022,100
France,FRA,2022,100
Gabon,GAB,2022,91
Gambia,GMB,2022,1.7
Georgia,GEO,2022,92.2
Germany,DEU,2022,100
Ghana,GHA,2022,31.5
Greece,GRC,2022,100
Grenada,GRD,2022,85.1
Guatemala,GTM,2022,45.5
Guinea,GIN,2022,1
Guinea-Bissau,GNB,2022,0.9
Guyana,GUY,2022,100
Haiti,HTI,2022,4.4
Honduras,HND,2022,50.05
Hungary,HUN,2022,100
Iceland,ISL,2022,100
India,IND,2022,73.4
Indonesia,IDN,2022,88.8
Iran,IRN,2022,95.9
Iraq,IRQ,2022,99.4
Ireland,IRL,2022,100
Israel,ISR,2022,100
Italy,ITA,2022,100
Jamaica,JAM,2022,93
Japan,JPN,2022,100
Jordan,JOR,2022,99.5
Kazakhstan,KAZ,2022,94.1
Kenya,KEN,2022,28.5
Kiribati,KIR,2022,14.6
Kuwait,KWT,2022,100
Kyrgyzstan,KGZ,2022,79.1
Laos,LAO,2022,10.3
Latvia,LVA,2022,100
Lesotho,LSO,2022,51.8
Liberia,LBR,2022,0.8
Lithuania,LTU,2022,100
Luxembourg,LUX,2022,100
Madagascar,MDG,2022,1.5
Malawi,MWI,2022,1.6
Malaysia,MYS,2022,85.3
Maldives,MDV,2022,99.8
Mali,MLI,2022,1.3
Malta,MLT,2022,100
Marshall Islands,MHL,2022,65.2
Mauritania,MRT,2022,48.9
Mauritius,MUS,2022,99.1
Mexico,MEX,2022,85
Micronesia (country),FSM,2022,13.3
Moldova,MDA,2022,98.2
Monaco,MCO,2022,100
Mongolia,MNG,2022,54.3
Montenegro,MNE,2022,61.9
Morocco,MAR,2022,98.1
Mozambique,MOZ,2022,6.9
Myanmar,MMR,2022,48.9
Namibia,NAM,2022,47.7
Nauru,NRU,2022,100
Nepal,NPL,2022,41.1
Netherlands,NLD,2022,100
New Zealand,NZL,2022,100
Nicaragua,NIC,2022,58.6
Niger,NER,2022,4.5
Nigeria,NGA,2022,24.4
North Korea,PRK,2022,13.6
North Macedonia,MKD,2022,80.55
Norway,NOR,2022,100
Oman,OMN,2022,100
Pakistan,PAK,2022,53
Palau,PLW,2022,100
Panama,PAN,2022,100
Papua New Guinea,PNG,2022,10.2
Paraguay,PRY,2022,70.7
Peru,PER,2022,90.1
Philippines,PHL,2022,57.6
Poland,POL,2022,100
Portugal,PRT,2022,100
Qatar,QAT,2022,100
Romania,ROU,2022,100
Russia,RUS,2022,100
Rwanda,RWA,2022,7.3
Saint Kitts and Nevis,KNA,2022,100
Saint Lucia,LCA,2022,92.7
Saint Vincent and the Grenadines,VCT,2022,90.4
Samoa,WSM,2022,38.6
San Marino,SMR,2022,100
Sao Tome and Principe,STP,2022,4.2
Saudi Arabia,SAU,2022,100
Senegal,SEN,2022,33.5
Serbia,SRB,2022,82
Seychelles,SYC,2022,100
Sierra Leone,SLE,2022,0.8
Singapore,SGP,2022,100
Slovakia,SVK,2022,100
Slovenia,SVN,2022,100
Solomon Islands,SLB,2022,8.6
Somalia,SOM,2022,4.8
South Africa,ZAF,2022,89.2
South Korea,KOR,2022,100
South Sudan,SSD,2022,0
Spain,ESP,2022,100
Sri Lanka,LKA,2022,34.2
Sudan,SDN,2022,68.2
Suriname,SUR,2022,95.4
Sweden,SWE,2022,100
Switzerland,CHE,2022,100
Syria,SYR,2022,90.1
Tajikistan,TJK,2022,86.9
Tanzania,TZA,2022,8.7
Thailand,THA,2022,86
Togo,TGO,2022,12.3
Tonga,TON,2022,88.6
Trinidad and Tobago,TTO,2022,100
Tunisia,TUN,2022,99.9
Turkey,TUR,2022,95.3
Turkmenistan,TKM,2022,99.8
Tuvalu,TUV,2022,76.75
Uganda,UGA,2022,1.6
Ukraine,UKR,2022,95.1
United Arab Emirates,ARE,2022,100
United Kingdom,GBR,2022,100
United States,USA,2022,100
Uruguay,URY,2022,100
Uzbekistan,UZB,2022,79
Vanuatu,VUT,2022,19.3
Venezuela,VEN,2022,93.9
Vietnam,VNM,2022,98.1
Yemen,YEM,2022,48.8
Zambia,ZMB,2022,9.7
Zimbabwe,ZWE,2022,30.5
